t,phi,R,N,Zmean,vZ_mean
0.000,0,5.50, 13374.0,0.000,6.4690e-02
0.000,0,6.50, 11215.0,-0.001,-2.1237e-01
0.000,0,7.50, 9289.0,0.000,-4.1477e-02
0.000,0,8.50, 7492.0,0.001,-2.6655e-01
0.000,0,9.50, 6113.0,0.001,2.6637e-02
0.000,0,10.50, 4796.0,-0.006,-1.1536e-01
0.000,0,11.50, 3920.0,-0.007,2.9497e-01
0.000,0,12.50, 3199.0,-0.004,-3.1695e-01
0.000,0,13.50, 2476.0,-0.000,1.1218e-01
0.000,0,14.50, 2002.0,-0.000,2.2673e-02
0.000,0,15.50, 1579.0,0.005,-2.3058e-01
0.000,1,5.50, 13542.0,-0.001,-2.0182e-01
0.000,1,6.50, 11341.0,0.001,6.2349e-02
0.000,1,7.50, 9125.0,-0.001,2.0219e-01
0.000,1,8.50, 7481.0,-0.002,-3.3072e-02
0.000,1,9.50, 6076.0,0.002,-8.5813e-02
0.000,1,10.50, 5019.0,-0.011,2.4614e-01
0.000,1,11.50, 4024.0,0.001,-1.0862e-02
0.000,1,12.50, 3170.0,0.001,4.8115e-02
0.000,1,13.50, 2458.0,0.005,7.2086e-02
0.000,1,14.50, 2075.0,-0.009,-2.7280e-01
0.000,1,15.50, 1481.0,0.008,-1.6051e-01
0.000,2,5.50, 13586.0,-0.001,-2.3963e-01
0.000,2,6.50, 11266.0,-0.003,3.3309e-01
0.000,2,7.50, 9291.0,-0.000,-1.1260e-01
0.000,2,8.50, 7474.0,-0.005,6.5058e-02
0.000,2,9.50, 6155.0,-0.003,3.9994e-01
0.000,2,10.50, 4894.0,0.001,-1.2069e-01
0.000,2,11.50, 3938.0,-0.002,7.6890e-02
0.000,2,12.50, 3154.0,0.003,1.1060e-01
0.000,2,13.50, 2530.0,-0.001,-9.8037e-02
0.000,2,14.50, 1924.0,-0.003,1.0283e-01
0.000,2,15.50, 1559.0,-0.016,2.0048e-02
0.000,3,5.50, 13397.0,0.001,-1.6542e-01
0.000,3,6.50, 11162.0,0.002,1.0156e-01
0.000,3,7.50, 9179.0,0.004,-7.6559e-02
0.000,3,8.50, 7481.0,-0.003,-1.3398e-02
0.000,3,9.50, 6004.0,-0.001,1.6462e-01
0.000,3,10.50, 4836.0,-0.002,-1.2955e-01
0.000,3,11.50, 3918.0,0.005,-1.3747e-01
0.000,3,12.50, 3181.0,-0.003,-1.4099e-01
0.000,3,13.50, 2490.0,0.005,-3.8075e-01
0.000,3,14.50, 1930.0,-0.003,1.4903e-02
0.000,3,15.50, 1579.0,0.000,-1.0156e-01
0.000,4,5.50, 13397.0,0.001,7.4411e-02
0.000,4,6.50, 11254.0,0.001,-1.7211e-01
0.000,4,7.50, 9083.0,-0.001,-3.4898e-02
0.000,4,8.50, 7576.0,0.002,6.4868e-02
0.000,4,9.50, 6130.0,-0.001,-2.9232e-02
0.000,4,10.50, 4931.0,-0.001,3.3574e-01
0.000,4,11.50, 3919.0,0.002,1.2677e-01
0.000,4,12.50, 3180.0,-0.005,1.5392e-01
0.000,4,13.50, 2483.0,0.004,-3.1767e-02
0.000,4,14.50, 1935.0,0.003,9.9554e-02
0.000,4,15.50, 1535.0,-0.009,-1.4469e-02
0.000,5,5.50, 13371.0,0.000,-1.4488e-01
0.000,5,6.50, 11201.0,-0.001,4.3586e-01
0.000,5,7.50, 9204.0,-0.003,-2.1974e-02
0.000,5,8.50, 7440.0,0.000,-1.1649e-01
0.000,5,9.50, 6095.0,-0.002,1.1659e-01
0.000,5,10.50, 4834.0,0.001,-2.7851e-01
0.000,5,11.50, 3919.0,0.000,-1.5170e-01
0.000,5,12.50, 3145.0,-0.001,7.3426e-02
0.000,5,13.50, 2598.0,-0.005,-4.2732e-02
0.000,5,14.50, 1948.0,-0.006,2.0667e-01
0.000,5,15.50, 1549.0,-0.002,-2.6345e-01
0.000,6,5.50, 13428.0,0.002,-4.4509e-02
0.000,6,6.50, 11278.0,-0.001,3.9418e-01
0.000,6,7.50, 9170.0,-0.001,-3.2371e-01
0.000,6,8.50, 7476.0,0.000,1.9673e-01
0.000,6,9.50, 6073.0,0.001,2.7863e-02
0.000,6,10.50, 4812.0,-0.005,3.5849e-01
0.000,6,11.50, 3957.0,-0.004,-1.3069e-01
0.000,6,12.50, 3171.0,-0.006,-2.0571e-02
0.000,6,13.50, 2472.0,0.006,4.4100e-02
0.000,6,14.50, 1911.0,0.005,1.6454e-01
0.000,6,15.50, 1604.0,0.004,3.7427e-01
0.000,7,5.50, 13717.0,0.001,-3.5468e-01
0.000,7,6.50, 11259.0,0.000,3.2842e-01
0.000,7,7.50, 9209.0,0.005,7.2990e-02
0.000,7,8.50, 7475.0,0.003,-6.7791e-02
0.000,7,9.50, 6128.0,0.001,-1.6271e-01
0.000,7,10.50, 4895.0,0.000,-2.1391e-01
0.000,7,11.50, 4014.0,0.001,2.9461e-02
0.000,7,12.50, 3131.0,-0.003,-1.9280e-01
0.000,7,13.50, 2448.0,-0.010,-2.7764e-01
0.000,7,14.50, 1949.0,0.007,6.7753e-02
0.000,7,15.50, 1559.0,0.008,-9.3180e-02
0.000,8,5.50, 13552.0,-0.002,3.3453e-01
0.000,8,6.50, 11238.0,0.002,-5.3125e-01
0.000,8,7.50, 9239.0,-0.005,4.4518e-02
0.000,8,8.50, 7454.0,0.003,8.2174e-02
0.000,8,9.50, 6069.0,0.003,1.6758e-01
0.000,8,10.50, 4870.0,0.002,3.0758e-01
0.000,8,11.50, 4003.0,0.003,8.9084e-02
0.000,8,12.50, 3144.0,-0.008,-6.3415e-02
0.000,8,13.50, 2507.0,0.000,2.4000e-01
0.000,8,14.50, 1983.0,0.002,-1.0712e-01
0.000,8,15.50, 1547.0,-0.015,-1.8324e-03
0.000,9,5.50, 13428.0,-0.002,1.7103e-02
0.000,9,6.50, 11377.0,0.001,-2.1396e-01
0.000,9,7.50, 9232.0,0.003,-2.3352e-01
0.000,9,8.50, 7428.0,-0.002,1.2090e-01
0.000,9,9.50, 6117.0,-0.005,-1.6233e-01
0.000,9,10.50, 4926.0,-0.003,7.2253e-02
0.000,9,11.50, 3894.0,0.001,-1.1552e-01
0.000,9,12.50, 3137.0,0.004,-1.2037e-01
0.000,9,13.50, 2516.0,0.002,1.1268e-01
0.000,9,14.50, 1990.0,0.005,-8.3449e-02
0.000,9,15.50, 1568.0,-0.003,1.4204e-01
0.000,10,5.50, 13552.0,-0.003,-1.7452e-01
0.000,10,6.50, 11247.0,0.000,-1.0847e-01
0.000,10,7.50, 9045.0,-0.001,-3.1678e-02
0.000,10,8.50, 7387.0,-0.004,5.8503e-03
0.000,10,9.50, 6130.0,0.001,-5.3493e-02
0.000,10,10.50, 4848.0,-0.007,-2.5174e-01
0.000,10,11.50, 3959.0,-0.001,-2.5776e-01
0.000,10,12.50, 3093.0,0.007,4.3330e-01
0.000,10,13.50, 2531.0,-0.007,1.3825e-01
0.000,10,14.50, 1972.0,-0.001,-8.2914e-02
0.000,10,15.50, 1557.0,-0.005,-2.2615e-01
0.000,11,5.50, 13409.0,0.001,-1.0701e-01
0.000,11,6.50, 11218.0,0.001,6.5946e-02
0.000,11,7.50, 9127.0,-0.002,6.6450e-02
0.000,11,8.50, 7514.0,-0.003,6.1046e-03
0.000,11,9.50, 6082.0,-0.000,7.8159e-02
0.000,11,10.50, 5036.0,0.001,1.3321e-01
0.000,11,11.50, 3907.0,0.003,1.0815e-01
0.000,11,12.50, 3084.0,0.006,-1.6503e-01
0.000,11,13.50, 2486.0,0.000,-3.0435e-01
0.000,11,14.50, 1933.0,0.004,2.0686e-01
0.000,11,15.50, 1561.0,0.001,-1.0932e-01
0.000,12,5.50, 13415.0,0.002,-5.8515e-02
0.000,12,6.50, 11211.0,0.001,2.2100e-03
0.000,12,7.50, 9242.0,0.003,-6.9407e-02
0.000,12,8.50, 7592.0,0.001,-3.8704e-02
0.000,12,9.50, 5976.0,-0.001,2.3213e-01
0.000,12,10.50, 4902.0,-0.001,3.5364e-01
0.000,12,11.50, 3993.0,0.008,1.5753e-01
0.000,12,12.50, 3158.0,-0.004,2.9177e-01
0.000,12,13.50, 2472.0,0.001,9.1215e-02
0.000,12,14.50, 1996.0,-0.006,-1.2785e-01
0.000,12,15.50, 1522.0,0.001,-1.3190e-01
0.000,13,5.50, 13416.0,-0.002,-8.7720e-02
0.000,13,6.50, 11296.0,0.001,-1.4810e-01
0.000,13,7.50, 9139.0,0.001,3.4810e-02
0.000,13,8.50, 7495.0,0.001,2.2820e-01
0.000,13,9.50, 5987.0,0.005,-1.5174e-01
0.000,13,10.50, 4980.0,-0.001,-1.3719e-01
0.000,13,11.50, 3858.0,-0.004,1.9357e-01
0.000,13,12.50, 3230.0,0.002,1.9715e-01
0.000,13,13.50, 2503.0,0.002,1.0727e-01
0.000,13,14.50, 2030.0,-0.003,-4.4654e-03
0.000,13,15.50, 1516.0,0.008,-1.1940e-02
